Id,SalePrice
1461,121516.19052928826
1462,145351.6195529478
1463,171271.77284442354
1464,192422.17567822043
1465,188191.64964860666
1466,177707.80230895296
1467,185384.1061537485
1468,171305.2093457635
1469,201762.07327238435
1470,115899.98446174158
1471,194513.48676773332
1472,102749.01380628448
1473,98113.65147318877
1474,136115.0634616786
1475,118670.67576519278
1476,336846.57284272905
1477,250523.95628371023
1478,258656.5747809762
1479,260321.1392277273
1480,460437.63225162664
1481,304760.47108743805
1482,202838.25031607947
1483,173035.43898592505
1484,163291.60690306508
1485,200407.12861294378
1486,205113.63620643306
1487,333108.38763734564
1488,250234.3480498389
1489,199571.09456343905
1490,219946.2639912373
1491,195389.03470818297
1492,87584.21560242402
1493,176330.93629574854
1494,291157.0134605711
1495,286155.46840503917
1496,207514.3335583133
1497,184465.36691645597
1498,159993.06304775568
1499,154427.40654473935
1500,143235.18552019118
1501,165570.37950138908
1502,154508.98369148388
1503,272644.60856296413
1504,250972.62127571122
1505,223711.97154186454
1506,189531.81969196125
1507,251794.15699827278
1508,199023.1814085521
1509,159546.64816779367
1510,137477.1878567608
1511,144307.9344289585
1512,168601.6041400307
1513,147369.89396619357
1514,150962.06846927255
1515,210511.93272016651
1516,141811.12150457723
1517,175422.71562560907
1518,128625.37665245056
1519,216813.98791440754
1520,126191.62782594557
1521,122342.65759112562
1522,185349.38454693073
1523,108012.31014212665
1524,124373.51461836313
1525,117098.76989659597
1526,108333.38182778239
1527,110185.52715891342
1528,141287.5045522784
1529,130043.72806581197
1530,202620.17217245008
1531,117807.77624341918
1532,107821.84600684365
1533,158128.03841905307
1534,140589.58737496007
1535,136580.23050147598
1536,101978.32018434763
1537,63564.65319386635
1538,146226.01685783663
1539,225361.69010906536
1540,93385.0293730601
1541,146918.64902398255
1542,128451.16228434793
1543,170188.6609298271
1544,83631.8074085895
1545,121748.21680494354
1546,144772.90738354885
1547,129886.7427298543
1548,140542.8176478995
1549,121988.12593738019
1550,125107.31125344704
1551,113781.89695418174
1552,123398.36750214972
1553,149619.8262724266
1554,130364.57963295451
1555,145505.40736127776
1556,83874.93192745466
1557,96005.04677547517
1558,105253.30709753798
1559,71823.59445105094
1560,126715.46537808297
1561,120654.69998231561
1562,136606.6438883532
1563,118909.72390072292
1564,165461.62278071334
1565,144120.1524547831
1566,250718.5675677812
1567,72536.69213993356
1568,218743.23264033534
1569,111446.29274834019
1570,157589.41787120746
1571,122747.88201000345
1572,143639.75054527394
1573,258191.7927117639
1574,119075.67716536863
1575,238365.982334002
1576,232754.83444851334
1577,188907.85671433414
1578,146438.72854805063
1579,150847.6442729304
1580,203785.77898960913
1581,152007.67737149968
1582,130964.43323598098
1583,303039.01558588026
1584,229013.155772155
1585,145215.11637231562
1586,78286.36939288267
1587,106918.22520773126
1588,140334.5646321315
1589,93362.3901952368
1590,157200.24856832495
1591,95459.74369883568
1592,103185.75330407082
1593,137628.1683314125
1594,135807.10929100204
1595,105814.28767632719
1596,208256.7073181904
1597,160244.709248816
1598,215825.05337857883
1599,197816.70257217227
1600,182351.28206897722
1601,70154.57091640128
1602,126328.33258321576
1603,87055.60514893159
1604,237525.42408493644
1605,264209.52635592065
1606,171086.8572583932
1607,192631.04958187824
1608,219951.83474054697
1609,193697.91753809413
1610,153665.6778395166
1611,147030.51980405414
1612,166860.96014921955
1613,169928.8345027482
1614,123850.69620362544
1615,92432.37841223387
1616,88145.71183188853
1617,103365.80027307777
1618,128523.2349549206
1619,142201.15935456578
1620,164138.15462063684
1621,145210.52489051287
1622,135750.49053006063
1623,283724.9685558827
1624,211404.6425478271
1625,123945.33849534285
1626,173401.65043156952
1627,184405.03815776607
1628,271103.4990796376
1629,195833.33550969593
1630,316827.9342539377
1631,221968.22669109397
1632,225265.61589763957
1633,183682.93944478346
1634,193964.1270062596
1635,182698.81774226425
1636,163570.93044201535
1637,202726.94547414334
1638,192519.4683039919
1639,193371.77273165708
1640,264456.26918346103
1641,189663.42797604157
1642,235142.81362282424
1643,234310.37776994586
1644,234803.22727467067
1645,210401.04843545525
1646,165255.37256128594
1647,165659.16592779293
1648,127245.11037341798
1649,140289.834105493
1650,112037.84949539336
1651,122812.64423888375
1652,109738.63149080708
1653,114755.93168647982
1654,145154.35642589114
1655,131028.79333605089
1656,130591.94613527355
1657,146215.61664400954
1658,143607.95909911575
1659,132929.24782181598
1660,160191.8686188623
1661,401959.84402481
1662,394146.15425804054
1663,341854.7852752007
1664,468243.3926612819
1665,286204.7185502028
1666,308402.0708358021
1667,310189.55744156986
1668,314136.5867064275
1669,280780.12686717167
1670,318250.3581493006
